Latitude,Longitude,MG
-12.3016666666667,-41.775,0.97
-12.0180555555556,-41.6652777777778,32.23
-12.2530555555556,-41.6194444444445,26.73
-12.7105555555556,-41.8255555555556,26.73
-12.0044444444444,-41.7383333333333,26.70
-12.6108333333333,-41.6947222222222,1.90
-12.7730555555556,-41.5338888888889,1.00
-12.5730555555556,-41.8180555555556,34.02
-12.8072222222222,-41.7997222222222,6.80
-12.9966666666667,-41.8080555555556,2.43
-12.7505555555556,-41.9452777777778,4.86
-12.5536111111111,-41.3802777777778,1.94
-12.4477777777778,-41.5816666666667,2.91
-12.2883333333333,-41.1675,12.63
-12.2897222222222,-41.4197222222222,1.45
-12.0688888888889,-41.0933333333333,22.35
-12.0938888888889,-41.4419444444444,5.83
-12.5041666666667,-41.2152777777778,8.74
-12.5936111111111,-41.1441666666667,36.45
-12.8033333333333,-41.3283333333333,0.97
-12.7183333333333,-41.2658333333333,22.35
-12.4297222222222,-41.3563888888889,0.97
-12.1675,-41.2694444444445,2.91
-12.2883333333333,-41.0505555555556,28.67
-12.2905555555556,-40.5080555555556,413.10
-12.0327777777778,-40.4861111111111,2.90
-12.4458333333333,-40.6197222222222,1.50
-12.3513888888889,-40.9013888888889,82.60
-12.0652777777778,-40.9725,77.80
-12.045,-40.8072222222222,8.70
-12.2252777777778,-40.7822222222222,104.40
-12.7238888888889,-40.5766666666667,680.40
-12.9122222222222,-40.6988888888889,461.70
-12.3244444444444,-40.7202777777778,473.40
-12.6466666666667,-40.9325,99.63
-12.8330555555556,-40.9077777777778,6.31
-12.9880555555556,-40.96,2.91
-12.9369444444444,-41.0641666666667,2.43
-12.7411111111111,-40.2086111111111,3.40
-12.9638888888889,-40.4769444444444,534.00
-12.5291666666667,-40.3163888888889,196.26
-12.5313888888889,-40.0802777777778,80.19
-12.8197222222222,-39.9175,38.88
-12.5877777777778,-39.5205555555556,8.74
-12.3197222222222,-39.695,262.44
-12.3558333333333,-40.0413888888889,187.00
-12.2680555555556,-39.8463888888889,347.49
-12.1058333333333,-39.8477777777778,65.61
-12.1786111111111,-40.4025,123.93
-12.0338888888889,-39.6913888888889,607.50
-12.3525,-40.4127777777778,478.71
-12.1847222222222,-39.4938888888889,546.75
-12.2669444444444,-39.5997222222222,1688.85
-12.0947222222222,-40.2133333333333,486.00
-12.5291666666667,-39.9275,5.40
-13.5030555555556,-41.4577777777778,0.48
-13.2494444444444,-41.4425,0.97
-13.5805555555556,-41.3608333333333,1.00
-13.135,-41.4986111111111,1.00
-12.9763888888889,-41.5597222222222,0.50
-12.9758333333333,-41.2744444444444,0.50
-13.1847222222222,-40.9555555555556,102.10
-13.3252777777778,-40.4291666666667,1.45
-13.4341666666667,-41.1105555555556,8.74
-13.1086111111111,-40.4025,108.00
-13.1672222222222,-40.7661111111111,1.45
-13.1275,-41.1094444444444,0.48
-12.7072222222222,-38.4536111111111,4.37
-12.7747222222222,-38.7766666666667,2.41
-12.3513888888889,-38.9444444444444,1.21
-12.0105555555556,-38.6341666666667,2.91
-12.3016666666667,-38.6394444444444,13.60
-12.2027777777778,-38.8658333333333,14.58
-12.16,-38.4194444444444,1.45
-12.5013888888889,-38.4930555555556,9.72
-12.4255555555556,-38.3411111111111,13.12
-12.6463888888889,-38.0633333333333,9.72
-12.7658333333333,-38.1769444444444,6.07
-12.6780555555556,-39.2419444444444,68.00
-12.9122222222222,-39.3641666666667,29.20
-12.9897222222222,-39.1302777777778,5.40
-12.9325,-38.6255555555556,17.98
-13.0633333333333,-38.7883333333333,12.63
-12.8355555555556,-39.1036111111111,41.31
-12.8355555555556,-38.9441666666667,7.29
-12.5719444444444,-38.8952777777778,7.77
-13.1147222222222,-38.9027777777778,1.94
-12.0302777777778,-38.8494444444444,6.80
-12.4819444444444,-39.2163888888889,12.15
-12.1869444444444,-39.3452777777778,80.00
-12.125,-39.1080555555556,499.36
-12.9541666666667,-38.3563888888889,3.90
-12.9875,-38.3563888888889,17.50
-12.0166666666667,-38.6166666666667,3.89
-12.0666666666667,-38.55,3.40
-12.1333333333333,-38.65,8.60
-12.1166666666667,-38.4166666666667,1.70
-12.2,-38.6166666666667,5.59
-12.2,-38.5,6.32
-12.3166666666667,-38.7666666666667,6.80
-12.2833333333333,-38.6166666666667,8.26
-12.2666666666667,-38.525,22.84
-12.2666666666667,-38.3666666666667,10.69
-12.2166666666667,-38.2166666666667,3.89
-12.3166666666667,-38.3666666666667,1.45
-12.2833333333333,-38.2166666666667,5.35
-12.35,-38.3833333333333,6.80
-12.3583333333333,-38.2333333333333,2.43
-12.4,-38.75,3.40
-12.4,-38,6.80
-12.4,-38.4666666666667,1.94
-12.4333333333333,-38.3666666666667,13.61
-12.3833333333333,-38.15,1.94
-12.4833333333333,-38.6166666666667,15.07
-12.4666666666667,-38.55,4.81
-12.5333333333333,-38.7166666666667,38.88
-12.5333333333333,-38.5666666666667,3.40
-12.5166666666667,-38.5,9.23
-12.5333333333333,-38.3166666666667,1.94
-12.6166666666667,-33.8166666666667,2.43
-12.6,-38.5666666666667,1.46
-12.6,-38.4,1.46
-12.6,-38.6,9.23
-12.6333333333333,-38.6166666666667,1.46
-12.65,-38.4680555555556,1.94
-12.65,-38.1666666666667,0.97
-12.7333333333333,-38.7666666666667,0.49
-12.6666666666667,-38.55,9.76
-12.7,-38.3166666666667,5.58
-12.7833333333333,-38.4,2.19
-12.8333333333333,-38.2666666666667,3.40
-12.8666666666667,-38.4333333333333,1.46
-12,-38.3166666666667,5.35
-12.0833333333333,-38.5,8.75
-12.2536111111111,-38.9333333333333,1.94
-12.2533333333333,-38.9333333333333,1.94
-12.3333333333333,-38.9333333333333,1.46
-12.3166666666667,-38.9333333333333,2.67
-12.3,-38.9333333333333,0.48
-12.2833333333333,-38.9333333333333,1.45
-12.2666666666667,-38.9333333333333,3.16
-12.2644444444444,-38.9333333333333,10.69
-12.25,-38.9333333333333,0.48
-12.2527777777778,-38.9333333333333,2.67
-12.2036111111111,-38.8705555555556,13.60
-12.2938888888889,-38.8402777777778,311.52
-12.3380555555556,-38.85,0.95
-12.3916666666667,-38.8138888888889,3.40
-12.2694444444444,-38.9416666666667,0.97
-12.2066666666667,-38.9727777777778,6.07
-12.7833333333333,-38.4,6.31
-12.7833333333333,-38.4,2.67
-12.6805555555556,-41.2138888888889,20.70
-12.6416666666667,-41.1722222222222,7.20
-12.475,-41.0555555555556,27.60
-12.5972222222222,-41.025,35.00
-12.675,-41.0138888888889,67.00
-12.6916666666667,-41.0055555555556,44.80
-12.7277777777778,-40.4972222222222,60.00
-12.1527777777778,-39.2361111111111,141.00
-12.825,-40.9,831.00
-12.6555555555556,-40.7277777777778,343.00
-12.6055555555556,-40.6916666666667,34.50
-12.6305555555556,-40.6638888888889,645.00
-12.6611111111111,-40.6138888888889,755.00
-12.6611111111111,-40.6138888888889,252.00
-12.5555555555556,-39.4777777777778,7.10
-12.5305555555556,-39.4472222222222,10.70
-12.5305555555556,-39.4472222222222,26.90
-12.5111111111111,-39.0083333333333,6.00
-12.625,-39.1638888888889,3.50
-12.6666666666667,-39.1055555555556,3.30
-12.9083333333333,-39.1972222222222,507.00
-12.1583333333333,-39.1138888888889,90.00
-12.2666666666667,-39.1972222222222,210.00
-12.3083333333333,-39.0305555555556,110.00
-12.6055555555556,-39.0361111111111,5.00
-12.625,-40.9555555555556,5.90
-12.6416666666667,-40.9416666666667,102.00
-12.3222222222222,-39.2916666666667,206.00
-12.1277777777778,-39.6972222222222,9.00
-13.2611111111111,-41.0222222222222,85.00
-13.2833333333333,-40.9611111111111,78.00
-13.3,-40.9611111111111,92.00
-13.0805555555556,-41.0194444444444,73.80
-13.2111111111111,-41.0527777777778,80.00
-13.2138888888889,-41.0305555555556,161.00
-13.2138888888889,-41.0305555555556,142.00
-13.2027777777778,-40.9888888888889,28.00
-13.2222222222222,-40.9361111111111,36.50
-12.275,-40.9972222222222,46.10
-12.3361111111111,-40.9055555555556,12.00
-12.3583333333333,-40.8583333333333,24.30
-12.875,-39.8555555555556,26.70
-12.7,-39.7166666666667,180.00
-12.7166666666667,-39.1777777777778,1.90
-12.7166666666667,-39.1777777777778,19.00
-12.7166666666667,-39.1777777777778,1.90
-12.7722222222222,-39.0333333333333,25.30
-12.9916666666667,-39.3777777777778,12.30
-12.9694444444444,-39.2611111111111,15.00
-12.45,-39.2333333333333,11.60
-12.4416666666667,-39.2166666666667,18.50
-12.8472222222222,-39.0916666666667,1.90
-12.7555555555556,-39.2111111111111,3.30
-12.1666666666667,-39.3666666666667,42.60
-12.1472222222222,-39.3138888888889,87.20
-12.1805555555556,-39.3222222222222,80.40
-12.0972222222222,-41.575,217.00
-12.0222222222222,-40.9916666666667,221.00
-12.0944444444444,-40.9888888888889,134.00
-12.0944444444444,-40.9888888888889,112.00
-12.775,-41.4902777777778,0.17
-12.8125,-41.8277777777778,0.80
-12.0055555555556,-41.0513888888889,19.70
-12.1138888888889,-41.1,12.20
-12.1138888888889,-41.1,19.70
-12.9472222222222,-41.0944444444444,11.00
-12.05,-40.8180555555556,6.80
-12.0125,-40.5652777777778,1.30
-12.0444444444444,-40.3972222222222,5.30
-12.025,-40.4833333333333,1.70
-12.3069444444444,-40.4541666666667,0.36
-12.1175,-39.7208333333333,0.97
-12.2722222222222,-39.275,7.10
-12.7402777777778,-39.8475,1.15
-12.8625,-39.8569444444444,1.35
-12.8097222222222,-39.5027777777778,1.60
-12.7916666666667,-39.0916666666667,6.10
-12.7827777777778,-39.2138888888889,1.20
-12.975,-39.2541666666667,1.08
-13.1541666666667,-40.7583333333333,1.20
-12.5313888888889,-39.5113888888889,7.80
-12.3511111111111,-39.2372222222222,6.50
-12.4683333333333,-39.5569444444444,39.60
-12.1711111111111,-40.2647222222222,3.95
-12.8286111111111,-39.5472222222222,2.06
-12.6844444444444,-41.8127777777778,3.70
-12.9727777777778,-40.9488888888889,2.20
-12.3602777777778,-41.5113888888889,9.60
-12.8377777777778,-41.7766666666667,0.80
-12.2927777777778,-40.5477777777778,606.00
-12.3247222222222,-40.3925,80.30
-12.0630555555556,-41.0180555555556,36.70
-12.7472222222222,-40.2008333333333,0.97
-12.7472222222222,-40.2008333333333,2.78
-13.0177777777778,-40.8127777777778,4.82
-12.9819444444444,-41.0819444444445,0.40
-13.045,-41.0877777777778,0.40
-13,-41.4108333333333,0.25
-12.7880555555556,-41.2555555555556,0.17
-12.8197222222222,-40.8308333333333,181.00
-12.1261111111111,-40.3286111111111,128.00
-12.1261111111111,-40.4655555555556,3.45
-13.3333333333333,-41.3561111111111,0.18
-12.4052777777778,-41.3836111111111,5.50
-12.4772222222222,-41.1916666666667,6.10
-12.4675,-39.9222222222222,215.00
-12.3333333333333,-40.1461111111111,211.00
-12.5313888888889,-40.2283333333333,120.00
-12.9991666666667,-40.5844444444444,2.25
-12.9819444444444,-40.5386111111111,4.08
-12.6022222222222,-39.4747222222222,2.65
-12.8558333333333,-40.3833333333333,3.28
-12.3422222222222,-41.155,11.10
-12.2522222222222,-41.1461111111111,11.30
-12.2069444444444,-41.1369444444444,0.25
-12.0988888888889,-40.4838888888889,1.70
-12.1891666666667,-39.6666666666667,0.97
-12.6755555555556,-40.8675,2.00
-12.9188888888889,-40.1186111111111,1.60
-12.1711111111111,-41.7213888888889,0.85
-12.3241666666667,-40.5202777777778,10.10
-13.3241666666667,-40.6575,1.20
